,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,month,year,m2
1845727,2020-780706,2020-07-24,1,Vente,266065.0,6.0,,ALL DE ZURICH,0560,77144.0,77307,Montévrain,77,,,77307000ZA0163,,,54,60.01,,,,,,,,,1,2.0,Appartement,69.0,3.0,,,,,,2.764325,48.856141,7,2020,3856.014492753623
1845728,2020-780706,2020-07-24,1,Vente,266065.0,2.0,B,ALL DE ZURICH,0560,77144.0,77307,Montévrain,77,,,77307000ZA0163,,,95,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.764325,48.856141,7,2020,
1845743,2020-780713,2020-07-31,1,Vente,175000.0,9001.0,,AV DES FRENES,0154,77144.0,77307,Montévrain,77,,,773070000C0987,,,561,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.759956,48.871348,7,2020,
1845744,2020-780713,2020-07-31,1,Vente,175000.0,9001.0,,AV DES FRENES,0154,77144.0,77307,Montévrain,77,,,773070000C0987,,,690,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.759956,48.871348,7,2020,
1845745,2020-780713,2020-07-31,1,Vente,175000.0,42.0,,AV DES FRENES,0154,77144.0,77307,Montévrain,77,,,773070000C0987,,,266,36.05,,,,,,,,,1,2.0,Appartement,36.0,2.0,,,,,,2.759956,48.871348,7,2020,4861.111111111111
1845778,2020-780731,2020-07-20,1,Vente,173000.0,16.0,B,RUE DE PARIS,0160,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AB0123,,,21,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.81983,48.845924,7,2020,
1845779,2020-780731,2020-07-20,1,Vente,173000.0,16.0,B,RUE DE PARIS,0160,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AB0123,,,26,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.81983,48.845924,7,2020,
1845780,2020-780731,2020-07-20,1,Vente,173000.0,16.0,,RUE DE PARIS,0160,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AB0123,,,82,43.8,,,,,,,,,1,2.0,Appartement,38.0,2.0,,,,,,2.81983,48.845924,7,2020,4552.631578947368
1845820,2020-780753,2020-07-30,1,Vente,215000.0,22.0,,RUE DE ROME,0459,77144.0,77307,Montévrain,77,,,773070000C1467,,,125,45.32,,,,,,,,,1,2.0,Appartement,46.0,2.0,,,,,,2.760579,48.860731,7,2020,4673.913043478261
1845821,2020-780753,2020-07-30,1,Vente,215000.0,25.0,P,AV DE LA SOCIETE DES NATIONS,0483,77144.0,77307,Montévrain,77,,,773070000C1467,,,368,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.760579,48.860731,7,2020,
1845847,2020-780763,2020-08-07,1,Vente,363000.0,8.0,,RUE DE BRUXELLES,0062,77144.0,77307,Montévrain,77,,,77307000ZA0110,,,37,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.764785,48.85566,8,2020,
1845848,2020-780763,2020-08-07,1,Vente,363000.0,6.0,,RUE DE BRUXELLES,0062,77144.0,77307,Montévrain,77,,,77307000ZA0110,,,13,83.52,,,,,,,,,1,2.0,Appartement,83.0,3.0,,,,,,2.764785,48.85566,8,2020,4373.493975903614
1845890,2020-780785,2020-07-30,1,Vente,100000.0,25.0,,RUE D AMSTERDAM,0013,77144.0,77307,Montévrain,77,,,77307000ZA0182,,,166,22.02,,,,,,,,,1,2.0,Appartement,22.0,1.0,,,,,,2.76756,48.853979,7,2020,4545.454545454545
1845935,2020-780807,2020-07-23,1,Vente,211000.0,38.0,P,RUE DE PRAGUE,0417,77144.0,77307,Montévrain,77,,,77307000ZA0193,,,151,,63,53.29,,,,,,,2,2.0,Appartement,51.0,2.0,,,,,,2.7636,48.853044,7,2020,4137.254901960784
1845936,2020-780807,2020-07-23,1,Vente,211000.0,38.0,P,RUE DE PRAGUE,0417,77144.0,77307,Montévrain,77,,,77307000ZA0193,,,268,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.7636,48.853044,7,2020,
1845988,2020-780832,2020-08-12,1,Vente,633000.0,9.0,,RUE DES BERDILLES,0033,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AO0185,,,,,,,,,,,,,0,1.0,Maison,186.0,8.0,S,sols,,,672.0,2.831488,48.856292,8,2020,3403.2258064516127
1846016,2020-780845,2020-07-23,1,Vente,235000.0,9001.0,,AV DE LA SOCIETE DES NATIONS,0483,77144.0,77307,Montévrain,77,,,77307000ZA0210,,,504,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.764576,48.853552,7,2020,
1846017,2020-780845,2020-07-23,1,Vente,235000.0,9001.0,,AV DE LA SOCIETE DES NATIONS,0483,77144.0,77307,Montévrain,77,,,77307000ZA0210,,,503,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.764576,48.853552,7,2020,
1846018,2020-780845,2020-07-23,1,Vente,235000.0,28.0,,ALL DE DUBLIN,0135,77144.0,77307,Montévrain,77,,,77307000ZA0210,,,116,,,,,,,,,,1,2.0,Appartement,65.0,3.0,,,,,,2.764576,48.853552,7,2020,3615.3846153846152
1846034,2020-780851,2020-07-21,1,Vente,105000.0,9001.0,P,RUE D AMSTERDAM,0013,77144.0,77307,Montévrain,77,,,77307000ZA0182,,,76,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.76756,48.853979,7,2020,
1846035,2020-780851,2020-07-21,1,Vente,105000.0,40.0,,RUE DE LA CHARBONNIERE,0077,77144.0,77307,Montévrain,77,,,77307000ZA0182,,,230,22.52,,,,,,,,,1,2.0,Appartement,22.0,1.0,,,,,,2.76756,48.853979,7,2020,4772.727272727273
1846154,2020-780906,2020-08-05,1,Vente,199000.0,,,RUE DU BOIS DE TROU,0019,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AH0355,,,122,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.823012,48.850425,8,2020,
1846155,2020-780906,2020-08-05,1,Vente,199000.0,77.0,,BD DES SPORTS,0200,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AH0355,,,9,39.4,,,,,,,,,1,2.0,Appartement,39.0,2.0,,,,,,2.823012,48.850425,8,2020,5102.5641025641025
1846174,2020-780915,2020-08-03,1,Vente,114000.0,40.0,,RUE DE LA CHARBONNIERE,0077,77144.0,77307,Montévrain,77,,,77307000ZA0182,,,469,21.0,,,,,,,,,1,2.0,Appartement,21.0,1.0,,,,,,2.76756,48.853979,8,2020,5428.571428571428
1846196,2020-780931,2020-07-24,1,Vente,42000.0,2.0,,RUE EDOUARD BUFFARD,0139,77144.0,77307,Montévrain,77,,,773070000C0746,,,211,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,12.0,0.0,,,,,,2.761163,48.866356,7,2020,3500.0
1846197,2020-780931,2020-07-24,1,Vente,42000.0,2.0,,RUE EDOUARD BUFFARD,0139,77144.0,77307,Montévrain,77,,,773070000C0746,,,119,28.98,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,28.0,0.0,,,,,,2.761163,48.866356,7,2020,1500.0
1846204,2020-780936,2020-07-20,1,Vente,248000.0,34.0,,AV DES FRENES,0154,77144.0,77307,Montévrain,77,,,773070000C1028,,,315,,62,,,,,,,,2,2.0,Appartement,64.0,3.0,,,,,,2.761009,48.871225,7,2020,3875.0
1846205,2020-780936,2020-07-20,1,Vente,248000.0,36.0,P,AV DES FRENES,0154,77144.0,77307,Montévrain,77,,,773070000C1028,,,410,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.761009,48.871225,7,2020,
1846224,2020-780946,2020-08-06,1,Vente,70000.0,2.0,,RUE EDOUARD BUFFARD,0139,77144.0,77307,Montévrain,77,,,773070000C0746,,,140,28.94,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,29.0,0.0,,,,,,2.761163,48.866356,8,2020,2413.793103448276
1846243,2020-780955,2020-08-20,1,Vente,410000.0,52.0,,RUE DES LANVAUX,0088,77700.0,77268,Magny-le-Hongre,77,,,77268000ZB0827,,,,,,,,,,,,,0,1.0,Maison,97.0,5.0,S,sols,,,210.0,2.817476,48.871367,8,2020,4226.80412371134
1846373,2020-781018,2020-08-07,1,Vente,10000.0,9002.0,,CRS DU TAGE,0257,77700.0,77449,Serris,77,,,77449000AC0138,,,829,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.78621,48.852987,8,2020,
1846386,2020-781027,2020-08-07,1,Vente,180000.0,9002.0,,RUE DE LA FONTAINE ROUGE,0235,77700.0,77111,Chessy,77,,,77111000AL0076,,,1389,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.773342,48.855841,8,2020,
1846387,2020-781027,2020-08-07,1,Vente,180000.0,2.0,,RUE DE LA FONTAINE ROUGE,0235,77700.0,77111,Chessy,77,,,77111000AL0076,,,1029,45.48,,,,,,,,,1,2.0,Appartement,45.0,2.0,,,,,,2.773342,48.855841,8,2020,4000.0
1846441,2020-781056,2020-08-03,1,Vente,114500.0,9001.0,P,RUE D AMSTERDAM,0013,77144.0,77307,Montévrain,77,,,77307000ZA0182,,,109,12.5,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.76756,48.853979,8,2020,
1846442,2020-781056,2020-08-03,1,Vente,114500.0,21.0,,RUE D AMSTERDAM,0013,77144.0,77307,Montévrain,77,,,77307000ZA0182,,,178,30.25,,,,,,,,,1,2.0,Appartement,30.0,1.0,,,,,,2.76756,48.853979,8,2020,3816.6666666666665
1846452,2020-781062,2020-08-06,1,Vente,578350.0,4.0,,RUE DES VIOLETTES,0206,77700.0,77268,Magny-le-Hongre,77,,,77268000ZB1010,,,,,,,,,,,,,0,1.0,Maison,134.0,5.0,S,sols,,,428.0,2.81722,48.875266,8,2020,4316.044776119403
1846528,2020-781082,2020-07-31,1,Vente,577400.0,79.0,,RUE BOUCLE DES HESPERIDES,0150,77700.0,77268,Magny-le-Hongre,77,,,77268000ZB0764,,,,,,,,,,,,,0,1.0,Maison,148.0,5.0,S,sols,,,500.0,2.812691,48.872012,7,2020,3901.3513513513512
1846529,2020-781082,2020-07-31,1,Vente,577400.0,79.0,,RUE BOUCLE DES HESPERIDES,0150,77700.0,77268,Magny-le-Hongre,77,,,77268000ZB0764,,,,,,,,,,,,,0,1.0,Maison,148.0,5.0,AG,terrains d'agrément,PARC,Parc,149.0,2.812691,48.872012,7,2020,3901.3513513513512
1846541,2020-781089,2020-07-30,1,Vente,583350.0,48.0,,ALL ALPHONSE DE LAMARTINE,0011,77144.0,77307,Montévrain,77,,,773070000C1238,,,,,,,,,,,,,0,1.0,Maison,138.0,5.0,S,sols,,,502.0,2.755481,48.866576,7,2020,4227.173913043478
1846674,2020-781141,2020-08-28,1,Vente,93000.0,21.0,,RUE D AMSTERDAM,0013,77144.0,77307,Montévrain,77,,,77307000ZA0182,,,255,22.02,,,,,,,,,1,2.0,Appartement,22.0,1.0,,,,,,2.76756,48.853979,8,2020,4227.272727272727
1846746,2020-781182,2020-08-04,1,Vente,144000.0,22.0,B,RUE DES BERGES,0021,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AD0107,,,60,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.817062,48.850198,8,2020,
1846747,2020-781182,2020-08-04,1,Vente,144000.0,24.0,,RUE DES BERGES,0021,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AD0107,,,14,30.42,,,,,,,,,1,2.0,Appartement,29.0,1.0,,,,,,2.817062,48.850198,8,2020,4965.517241379311
1846748,2020-781183,2020-08-05,1,Vente,164000.0,60.0,P,RUE DU MOULIN A VENT,0105,77700.0,77268,Magny-le-Hongre,77,,,77268000AB0308,,,67,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.809717,48.867114,8,2020,
1846749,2020-781183,2020-08-05,1,Vente,164000.0,60.0,,RUE DU MOULIN A VENT,0105,77700.0,77268,Magny-le-Hongre,77,,,77268000AB0308,,,13,33.55,,,,,,,,,1,2.0,Appartement,34.0,2.0,,,,,,2.809717,48.867114,8,2020,4823.529411764706
1846761,2020-781189,2020-08-07,1,Vente,275000.0,1.0,P,RUE DES CAMPANULES,0044,77700.0,77268,Magny-le-Hongre,77,,,772680000B0932,,,118,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.814437,48.86529,8,2020,
1846762,2020-781189,2020-08-07,1,Vente,275000.0,1.0,P,RUE DES CAMPANULES,0044,77700.0,77268,Magny-le-Hongre,77,,,772680000B0932,,,69,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.814437,48.86529,8,2020,
1846763,2020-781189,2020-08-07,1,Vente,275000.0,1.0,,RUE DES CAMPANULES,0044,77700.0,77268,Magny-le-Hongre,77,,,772680000B0932,,,4,63.51,,,,,,,,,1,2.0,Appartement,67.0,3.0,,,,,,2.814437,48.86529,8,2020,4104.477611940299
1846768,2020-781192,2020-08-11,1,Vente,265250.0,9012.0,,RUE DE L EPINETTE,0062,77700.0,77268,Magny-le-Hongre,77,,,77268000AB0293,,,148,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.815097,48.865945,8,2020,
1846769,2020-781192,2020-08-11,1,Vente,265250.0,14.0,,RUE DE L EPINETTE,0062,77700.0,77268,Magny-le-Hongre,77,,,77268000AB0293,,,135,71.55,,,,,,,,,1,2.0,Appartement,72.0,4.0,,,,,,2.815097,48.865945,8,2020,3684.027777777778
1846770,2020-781192,2020-08-11,1,Vente,265250.0,9014.0,,RUE DE L EPINETTE,0062,77700.0,77268,Magny-le-Hongre,77,,,77268000AB0293,,,134,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.815097,48.865945,8,2020,
