,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_commune,nom_commune,nombre_lots,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,month,year,m2
2709161,2019-1132021,2019-06-04,Vente,187000.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,51.0,3.0,2.762352,48.854315,6,2019,3666.6666666666665
2709180,2019-1132033,2019-06-28,Vente,311300.0,RUE DE ROME,77307,Montévrain,1,Appartement,76.0,4.0,2.759889,48.859152,6,2019,4096.0526315789475
2709248,2019-1132068,2019-06-24,Vente,130000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,35.0,1.0,2.76756,48.853979,6,2019,3714.285714285714
2709393,2019-1132150,2019-06-28,Vente,235000.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,55.0,2.0,2.7628,48.853901,6,2019,4272.727272727273
2709396,2019-1132152,2019-06-28,Vente,126700.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,30.0,1.0,2.7628,48.853901,6,2019,4223.333333333333
2709423,2019-1132163,2019-07-01,Vente,170000.0,COUR DE LA FORGE,77449,Serris,1,Appartement,36.0,2.0,2.789096,48.843444,7,2019,4722.222222222223
2709470,2019-1132187,2019-06-12,Vente,245000.0,BD DES SPORTS,77018,Bailly-Romainvilliers,1,Appartement,58.0,3.0,2.823012,48.850425,6,2019,4224.137931034483
2709518,2019-1132213,2019-06-18,Vente,363000.0,CRS DU TAGE,77449,Serris,1,Appartement,87.0,4.0,2.786913,48.854067,6,2019,4172.413793103448
2709524,2019-1132216,2019-06-19,Vente,420000.0,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,94.0,4.0,2.763609,48.8543,6,2019,4468.085106382979
2709527,2019-1132217,2019-06-18,Vente,230000.0,ALL DE ZURICH,77307,Montévrain,1,Appartement,63.0,3.0,2.764325,48.856141,6,2019,3650.7936507936506
2709560,2019-1132233,2019-06-17,Vente,225000.0,RUE DES FERMES,77268,Magny-le-Hongre,1,Appartement,61.0,3.0,2.812748,48.865878,6,2019,3688.5245901639346
2709661,2019-1132283,2019-07-03,Vente,400000.0,RUE DE LA GALMY,77111,Chessy,1,Appartement,94.0,4.0,2.772108,48.855764,7,2019,4255.31914893617
2709674,2019-1132290,2019-06-20,Vente,221500.0,CRS DE LA GARONNE,77449,Serris,2,Appartement,42.0,2.0,2.78621,48.852987,6,2019,5273.809523809524
2709734,2019-1132323,2019-06-18,Vente,210000.0,RUE DE LA HOUE,77268,Magny-le-Hongre,1,Appartement,55.0,3.0,2.813762,48.870283,6,2019,3818.181818181818
2709737,2019-1132324,2019-06-19,Vente,196000.0,AV THIBAUD DE CHAMPAGNE,77111,Chessy,1,Appartement,40.0,2.0,2.764946,48.878896,6,2019,4900.0
